Date,Event,Source,URL
12/31/19,Chinese Health officials inform the WHO about a cluster of 41 patients with a mysterious pneumonia. Most are connected to Huanan Seafood Wholesale Market.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/1/20,Huanan Seafood Wholesale Market closes.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/7/20,Chinese authorities identify a new type of coronavirus (called novel coronavirus or nCoV).,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/11/20,China records its first death.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/13/20,First coronavirus case outside of China is reported in Thailand.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/20/20,"First US case is reported: a 35-year-old man in Snohomish County, Washington.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/23/20,"Wuhan is placed under quarantine, Hubei province follows within days.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/30/20,WHO declares a global public-health emergency.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/31/20,President Trump bans foreign nationals from entering the US if they were in China within the prior two weeks.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/2/20,First death outside China is recorded in the Philippines.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/7/20,Chinese whistleblower Li Wenliang dies.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/8/20,US citizen dies in Wuhan – first death of an American citizen.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/9/20,"Death toll in China surpasses that of the 2002-2003 SARS epidemic, with 811 deaths recorded.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/11/20,"WHO announces that the new coronavirus disease will be called ""COVID-19.""",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/12/20,Coronavirus cases start to spike in South Korea.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/19/20,Iran outbreak begins.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/21/20,Italy outbreak begins.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/29/20,US reports first death on American soil.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/3/20,"Coronavirus cases begin to sharply increase in Spain, marking the start of its outbreak.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/8/20,Italy places all 60 million residents on lockdown.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/11/20,WHO declared the outbreak a pandemic.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/11/20,President Trump bans all travel from 26 European countries.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/13/20,A US national emergency is declared over the novel coronavirus outbreak.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/17/20,"A leaked federal plan warns the new coronavirus pandemic ""will last 18 months or longer"" and may come in ""multiple waves"" of infections.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/17/20,"Italy reports 475 COVID-19 deaths, the highest single-day death toll for any country since the outbreak began.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/19/20,China reports no new locally spread infections for the first time since the pandemic began.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/19/20,"Globally, authorities report more than 240,000 confirmed cases of COVID-19, with about 145,000 being active and ongoing cases, roughly 85,000 recoveries, and 10,000 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/19/20,Nearly all US states declare a state of emergency.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/20/20,Italy reports the two highest single-day death tolls for any country: 627 on March 20 and 793 on March 21.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/22/20,About 1 in 3 Americans are under lockdown as 12 states issue stay-at-home orders.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/23/20,"New York City confirms 21,000 cases, making it the biggest epicenter of the outbreak in the US.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/24/20,"Globally, authorities report more than 375,000 confirmed cases of COVID-19, with about 258,000 being active and ongoing cases, roughly 101,000 recoveries, and 16,370 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/26/20,Roughly 1 in 2 Americans go on lockdown as 22 states issue stay-at-home orders.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/26/20,"Total confirmed cases in the US reach 82,404 — the highest in the world — surpassing China's 81,782 and Italy's 80,589.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/26/20,"Globally, authorities report more than 558,500 confirmed cases of COVID-19, with about 431,000 being active and ongoing cases, roughly 128,000 recoveries, and 25,251 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/27/20,Italy reports the highest single-day death toll for any country: 919.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/27/20,President Donald Trump signed into law Friday afternoon a historic $2 trillion stimulus package as the American public and the US economy fight the devastating spread of Covid-19.,CNN,https://www.cnn.com/2020/03/27/politics/coronavirus-stimulus-house-vote/index.html
